i:88, m:t, fps:1.7452407770876563, rand:0.7330358028411865, p:0.5, time:92.40783953666687
i:89, m:t, fps:1.0960043554784291, rand:0.5450840592384338, p:0.5, time:93.86628794670105
i:90, m:s, fps:0.6856146758637645, rand:0.31292325258255005, p:0.5, time:94.15314078330994
i:91, m:s, fps:0.6856146758637645, rand:0.1485830545425415, p:0.5, time:94.43535780906677
i:92, m:s, fps:0.6856146758637645, rand:0.20650601387023926, p:0.5, time:94.71613001823425
i:93, m:s, fps:0.6856146758637645, rand:0.39281177520751953, p:0.5, time:94.99130630493164
i:94, m:s, fps:3.555922557891357, rand:0.13766437768936157, p:0.5, time:95.27231931686401
i:95, m:s, fps:3.555922557891357, rand:0.04055428504943848, p:0.5, time:95.55361270904541
i:96, m:t, fps:3.555922557891357, rand:0.7096465826034546, p:0.5, time:97.01578140258789
i:97, m:t, fps:1.481944133978203, rand:0.5173293948173523, p:0.5, time:98.57908987998962
i:98, m:s, fps:0.6396316574287207, rand:0.49816417694091797, p:0.5, time:98.85989904403687
i:99, m:t, fps:0.6396316574287207, rand:0.598691999912262, p:0.5, time:100.40537309646606
i:100, m:s, fps:1.0951810175071346, rand:0.011611580848693848, p:0.5, time:100.61454248428345
i:101, m:t, fps:1.0951810175071346, rand:0.570680558681488, p:0.5, time:102.13934016227722
i:102, m:s, fps:1.153315341928127, rand:0.3606434464454651, p:0.5, time:102.42005181312561
i:103, m:t, fps:1.153315341928127, rand:0.6451566219329834, p:0.5, time:103.9146192073822
i:104, m:s, fps:1.1266901309608475, rand:0.0784638524055481, p:0.5, time:104.17127966880798
i:105, m:t, fps:1.1266901309608475, rand:0.5232051014900208, p:0.5, time:105.68216729164124
i:106, m:s, fps:1.1313385024796474, rand:0.08147978782653809, p:0.5, time:105.96353650093079
i:107, m:s, fps:1.1313385024796474, rand:0.3320963382720947, p:0.5, time:106.24303984642029
i:108, m:s, fps:1.1313385024796474, rand:0.27127575874328613, p:0.5, time:106.52306699752808
i:109, m:t, fps:1.1313385024796474, rand:0.6689401865005493, p:0.5, time:107.95934987068176
